ts;date;gfs_ugrd;gfs_vgrd;gfs_gust;ecmwf_ugrd;ecmwf_vgrd;ecmwf_gust;icon_ugrd;icon_vgrd;icon_gust
1551765600;"05.03.2019 06:00";-2.56884704;-3.18663408;4.3322016;1.1120273344;-2.1066432000001;5.0959314752;-0.66497335039999;-0.19684368000001;3.759507936
1551769200;"05.03.2019 07:00";-3.02342768;-1.85308928;3.5042704;-0.8180582336;-1.8731147072001;6.636720512;-2.3049517824;0.25948662399999;3.9039865536
1551772800;"05.03.2019 08:00";-3.64648784;-1.60334928;3.6978016;-2.8066435008;-1.6324596928001;8.2242857984;-2.3504350464;-0.121236416;4.0570382656
1551776400;"05.03.2019 09:00";-3.92002144;-1.5503224;3.5359656;-4.736812;-1.3989328000001;9.7650761664;-1.9682395456;0.42090325759999;4.0922394048
1551780000;"05.03.2019 10:00";-3.60376128;-2.0193152;3.5706624;-2.8491102912;-1.2312403264;9.8336843968;-1.813495712;0.7453226496;3.8741743167999
1551783600;"05.03.2019 11:00";-3.08810032;-2.67324112;3.8207296;-0.9042841088;-1.058396608;9.9043483008;-0.96862337919996;1.1560192832;4.2420256576
1551787200;"05.03.2019 12:00";-2.29054592;-3.58431504;4.3372624;0.98333439999998;-0.89062226559999;9.9729743936;-0.13023228799996;0.50922362880004;4.8609193536
1551790800;"05.03.2019 13:00";-1.02185664;-5.60803696;6.6452;-0.79347228160002;-2.58947648;10.7394469696;-1.0027496576;-1.4098671744;3.3944364416
1551794400;"05.03.2019 14:00";-1.00852768;-6.43879504;7.902572;-2.6241351872;-4.3397259200001;11.5291497088;-2.54281712;-4.1364576128;8.3737740543999
1551798000;"05.03.2019 15:00";-1.35133968;-7.43547152;8.980044;-4.4009584;-6.0385801344001;12.9388598976;-2.6845780672;-6.1297173376;10.8724475008
1551801600;"05.03.2019 16:00";-0.94169279999999;-7.39390288;9.6539472;-3.39274672;-6.3223473344001;12.6789204736;-2.1578368384;-7.3716449216;12.073261536
1551805200;"05.03.2019 17:00";-0.51702528;-7.52192928;9.874316;-2.35401488;-6.6146134656001;12.4111786496;-2.1039664832;-9.3291867456;13.4995182848
1551808800;"05.03.2019 18:00";0.046634720000003;-7.12243296;9.3994784;-1.3458048;-6.8983793344001;12.1513210944;-0.95477229440003;-9.6693768384001;13.7191625088
1551812400;"05.03.2019 19:00";0.38338704;-6.31189584;8.1519424;-0.44075921920003;-6.5089809600001;11.5907888704;-0.19496078720003;-8.5416111744001;13.9024229888
