ts,wind_speed,wind_direction,wind_gust
1508598000,2.594896,243.682373,3.060832
1508608800,2.873844,193.906082,3.448227
1508619600,3.668745,181.305542,4.018231
1508630400,4.004119,182.536728,4.829267
1508641200,4.371283,182.266205,5.340889
1508652000,4.679289,195.038986,5.428379
1508662800,3.699538,226.783066,3.746466
1508673600,3.091551,273.006012,3.204406
1508684400,2.56201,273.342743,2.700248
1508695200,2.276155,204.583099,2.709585
1508706000,3.517449,186.320023,3.834182
1508716800,4.117858,182.399536,5.000556
1508727600,4.512389,182.218765,5.517125
1508738400,4.632255,193.580215,5.542516
1508749200,3.849534,226.122726,4.015274
1508760000,3.041376,266.777588,3.142654
1508770800,2.12112,264.120758,2.458873
1508781600,2.540328,201.778839,3.034973
1508792400,2.689099,179.628433,3.148453
1508803200,3.269212,182.305054,3.900148
1508814000,3.592119,190.81459,4.457623
1508824800,4.065581,199.315384,4.726145
1508835600,2.992484,251.681503,2.743827
1508846400,3.584425,294.776764,3.868208
1508857200,2.362083,273.28952,2.634812
1508868000,1.958948,224.040146,2.464106
1508878800,3.631699,193.56337,4.033177
1508889600,3.723898,189.037094,4.519812
1508900400,3.8826,189.24939,4.723119
1508911200,4.97067,196.043503,5.920062
1508922000,4.682512,216.897461,4.73557
1508932800,3.128435,256.405518,3.240796
1508943600,2.069322,253.962692,2.421258
1508954400,2.636711,195.730576,3.137954
1508965200,3.122164,175.302536,3.669597
1508976000,4.182911,170.811768,4.956739
1508986800,4.782606,170.487152,5.522894
1508997600,5.100614,177.831299,6.1609
1509008400,4.85968,205.437866,5.211733
1509019200,3.105937,242.392746,3.348096
1509030000,1.824465,256.688049,2.3
1509040800,3.265327,176.590775,3.822919
1509051600,3.86639,166.829071,4.500554
1509062400,4.739058,168.3349,5.360777
1509073200,4.847223,171.409592,5.656718
1509084000,4.920232,178.134521,5.713344
1509094800,4.538444,209.350342,4.932981
1509105600,2.95231,249.13829,3.2
1509116400,2.092796,251.483612,2.743483
1509127200,3.766355,188.7854,4.38473
1509138000,3.652712,175.263809,4.255305
1509148800,3.610379,184.962051,4.232916
1509159600,4.399065,189.790115,5.146978
1509170400,5.670733,197.182724,6.72894
1509181200,5.099777,225.276688,5.423759
1509192000,3.964623,254.467194,4.22067
1509202800,3.424694,252.253815,3.944898
1509213600,4.330102,210.837296,4.871025
1509224400,4.635132,190.718323,5.204578
1509235200,4.799489,181.077179,6.239478
1509246000,4.780498,178.289246,5.857949
1509256800,4.711239,189.394653,5.687402
1509267600,4.003679,228.428879,3.823943
1509278400,3.323927,280.533539,3.56973
1509289200,2.9447,273.136108,3.321689
1509300000,3.042365,224.235016,3.574276
1509310800,3.396402,202.931519,3.751929
1509321600,3.747017,189.176208,4.550882
1509332400,3.610519,186.545761,4.457803
1509343200,4.813789,191.148239,5.626348
1509354000,5.714915,204.489716,6.153129
1509364800,5.324058,214.726517,5.952015
1509375600,4.475191,209.160675,5.40987
1509386400,4.902146,173.612427,6.146818
1509397200,5.361423,173.194794,6.543361
1509408000,5.464372,175.773071,6.735765
1509418800,5.826299,173.955429,7.230287
1509429600,6.252576,181.113968,7.800009
1509440400,6.558142,198.320908,7.160966
1509451200,5.576051,212.73143,6.202344
1509462000,4.531493,209.772583,5.874863
1509472800,4.999854,173.074554,6.418584
1509483600,6.081185,172.980392,7.633158
1509494400,6.646445,172.708008,8.111946
1509505200,6.754022,171.427094,8.414942
1509516000,6.600981,177.277893,8.130017
1509526800,6.343531,199.990067,6.808511
1509537600,5.622372,214.116013,6.112113
1509548400,4.178989,215.69603,4.84984
1509559200,4.930777,176.871765,6.434454
1509570000,6.151385,174.822189,7.524227
1509580800,6.324738,175.206879,7.742902
1509591600,6.242557,176.108917,7.6
1509602400,6.41149,181.459229,7.900743
1509613200,7.100613,200.530182,7.293567
1509624000,6.531857,210.636337,7.124794
1509634800,5.343697,210.086716,6.778046
1509645600,5.188603,178.418213,6.736971
1509656400,6.353012,176.837631,7.735693
1509667200,6.441481,175.929794,7.937089
1509678000,6.192419,174.892532,7.726696
1509688800,6.541629,182.890701,7.911719
1509699600,6.991038,203.94342,6.933155
1509710400,6.749722,213.273972,7.200342
1509721200,7.161588,191.320282,8.475598
1509732000,6.717554,168.681396,8.33785
1509742800,6.608064,165.70282,8.273324
1509753600,6.744377,167.088608,8.357284
1509764400,6.536894,169.740997,7.922467
1509775200,6.574501,176.701782,8.141039
1509786000,6.688543,194.277145,6.712345
1509796800,5.107503,206.180038,5.464887
1509807600,4.13488,202.667542,4.868038
1509818400,4.359807,172.097702,5.370574
1509829200,5.005246,174.08757,5.970777
1509840000,5.341807,172.210587,6.34062
1509850800,4.916334,173.468903,5.725404
1509861600,4.469617,188.000992,4.917881
1509872400,3.410609,230.654297,2.651343
1509883200,2.86105,279.87323,2.943994
1509894000,2.594507,244.480789,2.928488
1509904800,4.420582,189.128616,5.647924
1509915600,4.815556,176.539322,5.849359
1509926400,5.091655,177.336533,6.11494
1509937200,5.731213,172.122116,6.951517
1509948000,5.945384,179.827682,7.140783
1509958800,6.050618,199.901566,6.033807
1509969600,4.85978,212.685974,5.328723
1509980400,4.721447,204.536789,5.919922
1509991200,4.810336,177.148041,5.959176
1510002000,5.569703,172.561661,6.769228
1510012800,5.774968,172.226898,6.93425
1510023600,5.680548,173.836777,6.818054
1510034400,5.640231,178.584991,6.823194
1510045200,5.552863,204.578171,5.819511
1510056000,4.162676,223.129013,4.417334
1510066800,4.57584,204.007843,5.6
1510077600,4.523442,182.740311,5.693151
1510088400,5.160998,177.020828,6.24613
1510099200,5.573143,176.209503,6.607227
1510110000,6.503176,178.212097,7.656681
1510120800,6.622969,179.76416,7.900122
1510131600,7.267939,197.079697,7.278847
1510142400,7.343711,202.956619,7.950439
1510153200,7.148414,193.688568,8.660123
1510164000,6.503937,170.985962,8.225425
1510174800,6.91958,167.022903,8.505356
1510185600,7.337378,166.58812,9.256002
1510196400,7.340612,166.167542,9.110712
1510207200,7.362977,172.32486,9.315215
1510218000,7.653476,188.479492,8.129464
1510228800,7.421484,192.627396,8.183828
1510239600,7.191615,185.122452,8.669288
1510250400,6.615208,166.659348,8.317424
1510261200,6.681538,168.609985,8.25326
1510272000,6.990453,168.634827,8.608326
1510282800,6.993255,168.601593,8.610002
1510293600,7.231434,175.7332,9.025667
1510304400,7.916739,191.878723,8.442618
1510315200,7.233507,200.111542,8.100135
1510326000,6.517886,199.402985,8.55
1510336800,5.891681,171.79657,7.544916
1510347600,6.022787,169.259506,7.741596
1510358400,6.414008,171.707535,7.929691
1510369200,6.397388,170.783142,8.1
1510380000,6.631886,177.108444,8.280763
1510390800,6.871155,196.767303,7.323194
1510401600,5.749438,205.853073,6.261158
1510412400,4.269345,205.766754,4.916614
1510423200,4.384192,167.938141,4.990293
1510434000,4.822722,164.864044,5.81452
1510444800,5.073194,168.447815,6.048812
1510455600,4.853436,168.61882,5.73523
1510466400,4.458312,173.912735,5.318215
1510477200,3.254787,204.978851,3.552084
1510488000,1.710524,230.423447,2.016626
1510498800,2.269849,216.419876,2.616001
1510509600,2.265365,169.885742,2.771629
1510520400,1.972641,164.971237,2.423198
1510531200,1.891048,183.789246,2.311231
1510542000,0.364289,173.038864,0.515021
1510552800,0.477845,227.931305,0.740918
1510563600,2.885577,311.707581,3.603613
1510574400,4.587413,319.099152,5.124548
1510585200,3.070682,303.503296,3.589671
1510596000,1.187776,271.948364,1.546706
1510606800,1.388869,236.196579,1.926205
1510617600,2.360615,206.065384,2.967518
1510628400,2.876707,189.006317,3.405591
1510639200,3.280048,189.105698,3.920375
1510650000,3.682208,221.749527,4.045158
1510660800,3.123034,242.104187,3.45
1510671600,2.022782,247.588104,2.547162
1510682400,3.492813,175.171936,4.146387
1510693200,4.023812,175.784103,4.607227
1510704000,4.519067,174.913681,5.240021
1510714800,4.617321,175.577286,5.416673
1510725600,4.807622,177.054657,5.721157
1510736400,5.261652,202.392517,5.935937
1510747200,4.941865,212.268478,5.658234
1510758000,4.502041,197.221817,5.207513
1510768800,4.845601,165.619171,5.312927
1510779600,5.0399,165.985657,5.647845
1510790400,5.15768,167.992218,6.039371
1510801200,4.699416,168.669708,5.555792
1510812000,4.693976,172.715271,5.532529
1510822800,5.189671,199.069641,5.723807
1510833600,4.070546,216.937042,4.643848
1510844400,3.301064,204.762207,4.01719
1510855200,3.529813,170.328659,4.185296
1510866000,4.133846,167.835068,4.714811
1510876800,4.298561,167.207016,4.927823
1510887600,4.427809,167.538391,5.005037
1510898400,4.003138,170.250427,4.660786
